#mat2dat ANONYMIZED.mat -n2 -D -R
#$Id: mat2dat.c,v 1.10 2010/02/10 06:59:09 avi Exp avi $
#frame    dx(mm)    dy(mm)    dz(mm)    X(deg)    Y(deg)    Z(deg)     scale
     1   -0.3360   -0.1659    0.8368    0.0519   -0.3857   -0.0440    1.0009
     2   -0.3366   -0.1786    0.8318    0.0382   -0.3808   -0.0358    0.9997
     3   -0.4406   -0.2609    0.9075    0.1262   -0.3104   -0.0237    1.0020
     4   -0.4427   -0.2702    0.9278    0.1344   -0.3056   -0.0253    1.0008
     5   -0.4284   -0.2584    0.9382    0.0835   -0.3204   -0.0250    1.0000
     6   -0.4232   -0.2175    0.8769    0.1094   -0.3030   -0.0196    1.0005
     7   -0.4285   -0.2751    0.9063    0.1082   -0.2996   -0.0175    1.0008
     8   -0.4207   -0.2809    0.9159    0.0641   -0.3295   -0.0123    1.0039
     9   -0.4240   -0.1927    0.8684    0.0975   -0.3160   -0.0111    1.0055
    10   -0.4152   -0.2588    0.9097    0.0684   -0.3123   -0.0117    1.0039
    11   -0.4170   -0.3084    0.9381    0.0865   -0.3189   -0.0256    0.9996
    12   -0.4220   -0.2252    0.9192    0.0759   -0.3218   -0.0185    1.0032
    13   -0.4340   -0.2348    0.9172    0.0490   -0.3314   -0.0223    1.0048
    14   -0.4435   -0.2533    0.8913    0.0562   -0.2954   -0.0310    1.0055
    15   -0.4425   -0.2589    0.9358    0.0901   -0.3109   -0.0362    1.0037
    16   -0.4369   -0.3001    0.9523    0.0518   -0.3350   -0.0396    1.0038
    17   -0.4385   -0.2537    0.8997    0.0799   -0.3250   -0.0314    1.0072
    18   -0.4475   -0.2474    0.8779    0.0668   -0.3230   -0.0286    1.0078
    19   -0.4481   -0.2940    0.8824    0.0927   -0.3253   -0.0198    1.0047
    20   -0.4509   -0.2914    0.9215    0.0952   -0.3202   -0.0273    1.0044
    21   -0.4533   -0.2668    0.9019    0.0855   -0.3458   -0.0277    1.0050
    22   -0.4549   -0.2365    0.8636    0.0995   -0.3107   -0.0168    1.0057
    23   -0.4516   -0.2609    0.8815    0.0889   -0.3233   -0.0210    1.0032
    24   -0.4425   -0.2893    0.8906    0.0884   -0.3153   -0.0198    1.0017
    25   -0.4329   -0.2535    0.9496    0.1026   -0.3185   -0.0261    1.0022
    26   -0.4351   -0.2414    0.8932    0.0974   -0.3340   -0.0270    1.0047
    27   -0.4239   -0.2649    0.9093    0.1057   -0.3183   -0.0272    1.0036
    28   -0.4202   -0.2814    0.9282    0.0792   -0.3203   -0.0289    1.0029
    29   -0.4240   -0.2914    0.9096    0.1110   -0.3226   -0.0286    1.0006
    30   -0.4202   -0.2588    0.9381    0.0947   -0.3238   -0.0235    1.0034
    31   -0.4263   -0.2232    0.9021    0.1013   -0.3468   -0.0195    1.0038
    32   -0.4229   -0.2792    0.8875    0.1052   -0.3286   -0.0147    1.0070
    33   -0.4298   -0.2880    0.9562    0.1142   -0.3485   -0.0332    1.0010
    34   -0.4205   -0.2592    0.8953    0.1181   -0.3307   -0.0130    1.0020
    35   -0.4131   -0.2350    0.9086    0.1302   -0.3481   -0.0060    1.0005
    36   -0.4291   -0.3218    0.9313    0.1141   -0.3047   -0.0158    1.0021
    37   -0.4585   -0.3253    0.8229   -0.0056   -0.3184    0.0007    0.9977
    38   -0.4750   -0.1173    0.7755   -0.1442   -0.2783   -0.0343    0.9972
    39   -0.3549   -0.0354    0.8260   -0.2942   -0.1538   -0.0105    0.9957
    40   -0.0420    0.0031    0.7930   -0.3099   -0.1811    0.1319    0.9952
    41    0.0434    0.0114    0.6449   -0.3497   -0.2192    0.1652    0.9939
    42    0.0994   -0.0607    0.3842   -0.3037   -0.1176    0.1532    0.9987
    43   -0.0089    0.0167    0.0030   -0.0059   -0.0100   -0.0118    1.0000
    44   -0.1466   -0.1224   -0.1538   -0.0154    0.1580   -0.0522    0.9866
    45   -0.0575   -0.3403   -0.0812    0.1117    0.0684   -0.0645    0.9880
    46   -0.1963    0.0831    0.0776    0.0803    0.1348   -0.1324    0.9888
    47   -0.1424    0.0451   -0.0524    0.2545    0.1168   -0.0885    0.9914
    48   -0.5470    0.2222   -0.1850    0.1965    0.2018   -0.2514    0.9896
    49   -0.8921    0.2379   -0.4377    0.3591    0.4112   -0.3915    0.9945
    50   -0.8124   -0.2572   -0.0829    0.3466    0.2800   -0.3202    0.9972
    51   -0.7807   -0.2476    0.2222    0.2520    0.2492   -0.2672    0.9968
    52   -0.7555   -0.2948    0.4000    0.2272    0.1892   -0.2838    0.9967
    53   -0.7613   -0.2968    0.4277    0.1972    0.2239   -0.2697    0.9966
    54   -0.7455   -0.2197    0.1872    0.3212    0.1831   -0.2481    0.9974
    55   -0.7786   -0.2730   -0.2098    0.3422    0.2143   -0.2002    1.0058
    56   -0.7390   -0.2625   -0.0939    0.1510    0.1975   -0.1323    1.0067
    57   -0.7280   -0.1781   -0.0753    0.1260    0.2540   -0.1100    1.0011
    58   -0.7660   -0.2790   -0.0630    0.0697    0.2487   -0.1340    1.0064
    59   -0.7474   -0.2647   -0.0823    0.1277    0.2577   -0.0969    1.0022
    60   -0.7714   -0.2402   -0.1022    0.1601    0.2595   -0.1279    1.0057
    61   -0.7577   -0.3292   -0.2117    0.2649    0.3150   -0.1195    0.9999
    62   -0.7496   -0.2891   -0.1697   -0.0155    0.3299   -0.1172    1.0090
    63   -0.7553   -0.1108   -0.4867   -0.4903    0.6236   -0.2246    0.9842
    64   -0.7579    0.2096   -0.8833   -0.4311    0.6375   -0.2690    1.0140
    65   -0.8525    0.1743   -1.0281   -0.3611    0.6372   -0.2175    1.0040
    66   -0.9888   -0.0012   -0.9534   -0.0741    0.5837   -0.2965    0.9964
    67   -1.0291   -0.1949   -0.9078   -0.0325    0.5926   -0.3228    1.0058
    68   -0.9847   -0.1040   -0.8947   -0.1271    0.6155   -0.3029    1.0010
    69   -0.9819   -0.2737   -0.5661   -0.0925    0.6039   -0.2988    1.0081
    70   -0.9295   -0.3088   -0.0971   -0.1153    0.6020   -0.3227    1.0027
    71   -0.8648   -0.1587    0.1244   -0.1571    0.6289   -0.2922    1.0048
    72   -0.8354   -0.1813    0.0949   -0.1940    0.6098   -0.2568    1.0037
    73   -0.8434   -0.1342    0.1174   -0.2199    0.6120   -0.2577    1.0032
    74   -0.8727   -0.2294    0.1405   -0.2624    0.6244   -0.2706    1.0000
    75   -0.8705   -0.1850    0.2955   -0.5448    0.6128   -0.2156    1.0027
    76   -0.8502   -0.2056    0.3148   -0.4789    0.5985   -0.2062    1.0018
    77   -0.8556   -0.1477    0.3111   -0.4806    0.6436   -0.1984    1.0065
    78   -0.8557   -0.2296    0.3168   -0.4881    0.6860   -0.1982    1.0081
    79   -0.8202   -0.2184    0.4070   -0.3993    0.7240   -0.1970    1.0085
    80   -0.8280   -0.1867    0.4255   -0.4570    0.7457   -0.1882    1.0061
    81   -0.8509   -0.1809    0.3450   -0.4231    0.7325   -0.2295    1.0021
    82   -0.8682   -0.1606    0.3080   -0.4806    0.8055   -0.2220    0.9969
#counting 80 out of 82 frames
#mean    -0.5659   -0.1947    0.3985   -0.0124    0.0624   -0.1097    1.0014
#s.d.     0.2624    0.1312    0.5671    0.2298    0.4059    0.1226    0.0054
#rms translation (mm)         0.6385
#rms rotation (deg)           0.4823
#total rms movement at radius=50 mm     0.7647
